Bundesland,Timestamp,EConfirmed,EDeaths
Baden-Württemberg,2020-07-11T00:00:00+02:00,36041,1837
Bayern,2020-07-11T00:00:00+02:00,49184,2612
Berlin,2020-07-11T00:00:00+02:00,8617,216
Brandenburg,2020-07-11T00:00:00+02:00,3459,168
Bremen,2020-07-11T00:00:00+02:00,1689,55
Hamburg,2020-07-11T00:00:00+02:00,5230,261
Hessen,2020-07-11T00:00:00+02:00,11122,514
Mecklenburg-Vorpommern,2020-07-11T00:00:00+02:00,804,20
Niedersachsen,2020-07-11T00:00:00+02:00,13799,641
Nordrhein-Westfalen,2020-07-11T00:00:00+02:00,44788,1704
Rheinland-Pfalz,2020-07-11T00:00:00+02:00,7136,236
Saarland,2020-07-11T00:00:00+02:00,2812,174
Sachsen,2020-07-11T00:00:00+02:00,5473,225
Sachsen-Anhalt,2020-07-11T00:00:00+02:00,1907,61
Schleswig-Holstein,2020-07-11T00:00:00+02:00,3206,154
Thüringen,2020-07-11T00:00:00+02:00,3289,182
