Area,AreaID,Date,EConfirmed,EDeaths,Recovered
Düsseldorf,5111,2021-08-01T23:59:00+02:00,26107,440,25300
Duisburg,5112,2021-08-01T23:59:00+02:00,29145,668,28300
Essen,5113,2021-08-01T23:59:00+02:00,26392,580,25600
Krefeld,5114,2021-08-01T23:59:00+02:00,11833,177,11500
Mönchengladbach,5116,2021-08-01T23:59:00+02:00,11149,233,10800
Mülheim / Ruhr,5117,2021-08-01T23:59:00+02:00,8513,234,8200
Oberhausen,5119,2021-08-01T23:59:00+02:00,11029,372,10600
Remscheid,5120,2021-08-01T23:59:00+02:00,6317,180,6100
Solingen,5122,2021-08-01T23:59:00+02:00,9547,197,9200
Wuppertal,5124,2021-08-01T23:59:00+02:00,20442,489,19800
Kleve (Kreis),5154,2021-08-01T23:59:00+02:00,11567,189,11300
Mettmann (Kreis),5158,2021-08-01T23:59:00+02:00,24574,764,23600
Rhein-Kreis Neuss,5162,2021-08-01T23:59:00+02:00,18611,356,18100
Viersen (Kreis),5166,2021-08-01T23:59:00+02:00,11798,309,11300
Wesel (Kreis),5170,2021-08-01T23:59:00+02:00,17988,311,17500
Bonn,5314,2021-08-01T23:59:00+02:00,14814,255,14400
Köln,5315,2021-08-01T23:59:00+02:00,54668,730,53200
Leverkusen,5316,2021-08-01T23:59:00+02:00,8103,102,7900
Aachen & Städteregion Aachen,5334,2021-08-01T23:59:00+02:00,27077,590,26300
Düren (Kreis),5358,2021-08-01T23:59:00+02:00,13826,289,13500
Rhein-Erft-Kreis,5362,2021-08-01T23:59:00+02:00,20448,407,19800
Euskirchen (Kreis),5366,2021-08-01T23:59:00+02:00,8040,241,7800
Heinsberg (Kreis),5370,2021-08-01T23:59:00+02:00,11710,378,11200
Oberbergischer Kreis,5374,2021-08-01T23:59:00+02:00,14671,252,14300
Rheinisch-Bergischer Kreis,5378,2021-08-01T23:59:00+02:00,11425,179,11200
Rhein-Sieg-Kreis,5382,2021-08-01T23:59:00+02:00,23664,549,23000
Bottrop,5512,2021-08-01T23:59:00+02:00,5430,113,5300
Gelsenkirchen,5513,2021-08-01T23:59:00+02:00,15632,414,15100
Münster,5515,2021-08-01T23:59:00+02:00,8400,121,8200
Borken (Kreis),5554,2021-08-01T23:59:00+02:00,14140,264,13800
Coesfeld (Kreis),5558,2021-08-01T23:59:00+02:00,5708,98,5600
Recklinghausen (Kreis),5562,2021-08-01T23:59:00+02:00,31995,985,30800
Steinfurt (Kreis),5566,2021-08-01T23:59:00+02:00,17266,331,16800
Warendorf (Kreis),5570,2021-08-01T23:59:00+02:00,11812,250,11500
Bielefeld,5711,2021-08-01T23:59:00+02:00,16009,347,15500
Gütersloh (Kreis),5754,2021-08-01T23:59:00+02:00,20266,320,19800
Herford (Kreis),5758,2021-08-01T23:59:00+02:00,11262,184,11000
Höxter (Kreis),5762,2021-08-01T23:59:00+02:00,5170,141,5000
Lippe (Kreis),5766,2021-08-01T23:59:00+02:00,17385,396,16900
Minden-Lübbecke (Kreis),5770,2021-08-01T23:59:00+02:00,15144,263,14800
Paderborn (Kreis),5774,2021-08-01T23:59:00+02:00,10668,159,10400
Bochum,5911,2021-08-01T23:59:00+02:00,16372,245,15900
Dortmund,5913,2021-08-01T23:59:00+02:00,28617,394,28000
Hagen,5914,2021-08-01T23:59:00+02:00,12617,324,12200
Hamm,5915,2021-08-01T23:59:00+02:00,10473,198,10200
Herne,5916,2021-08-01T23:59:00+02:00,9578,270,9300
Ennepe-Ruhr-Kreis,5954,2021-08-01T23:59:00+02:00,13594,365,13200
Hochsauerlandkreis,5958,2021-08-01T23:59:00+02:00,9982,201,9700
Märkischer Kreis,5962,2021-08-01T23:59:00+02:00,21127,415,20600
Olpe (Kreis),5966,2021-08-01T23:59:00+02:00,5890,164,5700
Siegen-Wittgenstein (Kreis),5970,2021-08-01T23:59:00+02:00,11852,179,11600
Soest (Kreis),5974,2021-08-01T23:59:00+02:00,8887,189,8600
Unna (Kreis),5978,2021-08-01T23:59:00+02:00,19110,491,18500
