Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-08-02T03:30:00+02:00,2095,100,1942
Bielefeld,2020-08-02T03:30:00+02:00,597,5,535
Bochum,2020-08-02T03:30:00+02:00,809,20,665
Bonn,2020-08-02T03:30:00+02:00,830,9,777
Borken (Kreis),2020-08-02T03:30:00+02:00,1163,38,1091
Bottrop,2020-08-02T03:30:00+02:00,267,7,221
Coesfeld (Kreis),2020-08-02T03:30:00+02:00,890,25,861
Dortmund,2020-08-02T03:30:00+02:00,1263,15,1099
Duisburg,2020-08-02T03:30:00+02:00,1959,64,1740
Düren (Kreis),2020-08-02T03:30:00+02:00,695,40,595
Düsseldorf,2020-08-02T03:30:00+02:00,2160,44,1998
Ennepe-Ruhr-Kreis,2020-08-02T03:30:00+02:00,434,8,508
Essen,2020-08-02T03:30:00+02:00,1238,42,1060
Euskirchen (Kreis),2020-08-02T03:30:00+02:00,598,23,539
Gelsenkirchen,2020-08-02T03:30:00+02:00,636,18,551
Gütersloh (Kreis),2020-08-02T03:30:00+02:00,2645,20,2536
Hagen,2020-08-02T03:30:00+02:00,499,13,440
Hamm,2020-08-02T03:30:00+02:00,594,36,547
Heinsberg (Kreis),2020-08-02T03:30:00+02:00,1983,85,1868
Herford (Kreis),2020-08-02T03:30:00+02:00,437,7,394
Herne,2020-08-02T03:30:00+02:00,317,3,272
Hochsauerlandkreis,2020-08-02T03:30:00+02:00,715,18,661
Höxter (Kreis),2020-08-02T03:30:00+02:00,379,18,355
Kleve (Kreis),2020-08-02T03:30:00+02:00,914,37,791
Köln,2020-08-02T03:30:00+02:00,2985,108,2696
Krefeld,2020-08-02T03:30:00+02:00,725,24,664
Leverkusen,2020-08-02T03:30:00+02:00,310,5,270
Lippe (Kreis),2020-08-02T03:30:00+02:00,801,30,743
Märkischer Kreis,2020-08-02T03:30:00+02:00,703,31,621
Mettmann (Kreis),2020-08-02T03:30:00+02:00,1378,82,1206
Minden-Lübbecke (Kreis),2020-08-02T03:30:00+02:00,571,13,488
Mönchengladbach,2020-08-02T03:30:00+02:00,816,44,688
Mülheim / Ruhr,2020-08-02T03:30:00+02:00,356,14,309
Münster,2020-08-02T03:30:00+02:00,773,13,729
Oberbergischer Kreis,2020-08-02T03:30:00+02:00,526,18,494
Oberhausen,2020-08-02T03:30:00+02:00,403,11,318
Olpe (Kreis),2020-08-02T03:30:00+02:00,685,56,612
Paderborn (Kreis),2020-08-02T03:30:00+02:00,761,34,707
Recklinghausen (Kreis),2020-08-02T03:30:00+02:00,1537,41,1397
Remscheid,2020-08-02T03:30:00+02:00,268,18,233
Rhein-Erft-Kreis,2020-08-02T03:30:00+02:00,1206,76,1075
Rheinisch-Bergischer Kreis,2020-08-02T03:30:00+02:00,521,22,471
Rhein-Kreis Neuss,2020-08-02T03:30:00+02:00,911,21,812
Rhein-Sieg-Kreis,2020-08-02T03:30:00+02:00,1573,52,1439
Siegen-Wittgenstein (Kreis),2020-08-02T03:30:00+02:00,388,8,317
Soest (Kreis),2020-08-02T03:30:00+02:00,414,8,394
Solingen,2020-08-02T03:30:00+02:00,376,12,301
Steinfurt (Kreis),2020-08-02T03:30:00+02:00,1425,86,1278
Unna (Kreis),2020-08-02T03:30:00+02:00,891,39,764
Viersen (Kreis),2020-08-02T03:30:00+02:00,801,37,724
Warendorf (Kreis),2020-08-02T03:30:00+02:00,875,20,831
Wesel (Kreis),2020-08-02T03:30:00+02:00,942,27,826
Wuppertal,2020-08-02T03:30:00+02:00,1107,86,964
