Area,Date,EConfirmed,EDeaths,Recovered
Aachen & Städteregion Aachen,2020-06-01T03:30:00+02:00,1971,93,1846
Bielefeld,2020-06-01T03:30:00+02:00,410,4,395
Bochum,2020-06-01T03:30:00+02:00,534,18,456
Bonn,2020-06-01T03:30:00+02:00,731,8,686
Borken (Kreis),2020-06-01T03:30:00+02:00,1095,38,931
Bottrop,2020-06-01T03:30:00+02:00,198,6,181
Coesfeld (Kreis),2020-06-01T03:30:00+02:00,861,24,785
Dortmund,2020-06-01T03:30:00+02:00,733,6,715
Duisburg,2020-06-01T03:30:00+02:00,1169,55,928
Düren (Kreis),2020-06-01T03:30:00+02:00,598,38,540
Düsseldorf,2020-06-01T03:30:00+02:00,1442,30,1200
Ennepe-Ruhr-Kreis,2020-06-01T03:30:00+02:00,434,14,394
Essen,2020-06-01T03:30:00+02:00,849,40,735
Euskirchen (Kreis),2020-06-01T03:30:00+02:00,460,21,395
Gelsenkirchen,2020-06-01T03:30:00+02:00,408,14,349
Gütersloh (Kreis),2020-06-01T03:30:00+02:00,669,19,577
Hagen,2020-06-01T03:30:00+02:00,329,13,304
Hamm,2020-06-01T03:30:00+02:00,472,36,419
Heinsberg (Kreis),2020-06-01T03:30:00+02:00,1886,70,1711
Herford (Kreis),2020-06-01T03:30:00+02:00,331,7,321
Herne,2020-06-01T03:30:00+02:00,195,2,181
Hochsauerlandkreis (Kreis),2020-06-01T03:30:00+02:00,609,17,582
Höxter (Kreis),2020-06-01T03:30:00+02:00,354,17,308
Kleve (Kreis),2020-06-01T03:30:00+02:00,709,35,587
Köln,2020-06-01T03:30:00+02:00,2479,97,2316
Krefeld,2020-06-01T03:30:00+02:00,630,23,563
Leverkusen,2020-06-01T03:30:00+02:00,240,5,215
Lippe (Kreis),2020-06-01T03:30:00+02:00,742,29,705
Märkischer Kreis,2020-06-01T03:30:00+02:00,599,29,539
Mettmann (Kreis),2020-06-01T03:30:00+02:00,959,79,822
Minden-Lübbecke (Kreis),2020-06-01T03:30:00+02:00,487,10,446
Mönchengladbach,2020-06-01T03:30:00+02:00,611,39,473
Mülheim / Ruhr,2020-06-01T03:30:00+02:00,209,9,177
Münster,2020-06-01T03:30:00+02:00,708,13,653
Oberbergischer Kreis,2020-06-01T03:30:00+02:00,486,17,452
Oberhausen,2020-06-01T03:30:00+02:00,261,10,239
Olpe (Kreis),2020-06-01T03:30:00+02:00,632,54,568
Paderborn (Kreis),2020-06-01T03:30:00+02:00,648,33,553
Recklinghausen (Kreis),2020-06-01T03:30:00+02:00,1273,39,1187
Remscheid,2020-06-01T03:30:00+02:00,239,17,216
Rhein-Erft-Kreis,2020-06-01T03:30:00+02:00,1095,76,989
Rheinisch-Bergischer Kreis,2020-06-01T03:30:00+02:00,469,20,414
Rhein-Kreis Neuss,2020-06-01T03:30:00+02:00,693,20,653
Rhein-Sieg-Kreis,2020-06-01T03:30:00+02:00,1432,48,1150
Siegen-Wittgenstein (Kreis),2020-06-01T03:30:00+02:00,314,8,288
Soest (Kreis),2020-06-01T03:30:00+02:00,363,8,349
Solingen,2020-06-01T03:30:00+02:00,253,8,230
Steinfurt (Kreis),2020-06-01T03:30:00+02:00,1331,81,1216
Unna (Kreis),2020-06-01T03:30:00+02:00,670,34,588
Viersen (Kreis),2020-06-01T03:30:00+02:00,708,36,614
Warendorf (Kreis),2020-06-01T03:30:00+02:00,492,20,459
Wesel (Kreis),2020-06-01T03:30:00+02:00,620,26,529
Wuppertal,2020-06-01T03:30:00+02:00,937,84,763
