Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-08-08T16:30:00+02:00,92,89
Bergkirchen,2020-08-08T16:30:00+02:00,67,62
Dachau,2020-08-08T16:30:00+02:00,243,236
Erdweg,2020-08-08T16:30:00+02:00,27,27
Haimhausen,2020-08-08T16:30:00+02:00,29,29
Hebertshausen,2020-08-08T16:30:00+02:00,28,26
Hilgertshausen-Tandern,2020-08-08T16:30:00+02:00,14,14
Karlsfeld,2020-08-08T16:30:00+02:00,155,147
Markt Indersdorf,2020-08-08T16:30:00+02:00,60,59
Odelzhausen,2020-08-08T16:30:00+02:00,21,19
Petershausen,2020-08-08T16:30:00+02:00,31,30
Pfaffenhofen a.d. Glonn,2020-08-08T16:30:00+02:00,8,8
Röhrmoos,2020-08-08T16:30:00+02:00,115,108
Schwabhausen,2020-08-08T16:30:00+02:00,30,29
Sulzemoos,2020-08-08T16:30:00+02:00,12,11
Vierkirchen,2020-08-08T16:30:00+02:00,35,30
Weichs,2020-08-08T16:30:00+02:00,20,18
