Kommune,Timestamp,Confirmed
Altomünster,2021-07-29T21:13:54+02:00,412
Bergkirchen,2021-07-29T21:13:54+02:00,378
Dachau,2021-07-29T21:13:54+02:00,2589
Erdweg,2021-07-29T21:13:54+02:00,326
Haimhausen,2021-07-29T21:13:54+02:00,230
Hebertshausen,2021-07-29T21:13:54+02:00,224
Hilgertshausen-Tandern,2021-07-29T21:13:54+02:00,152
Karlsfeld,2021-07-29T21:13:54+02:00,1478
Markt Indersdorf,2021-07-29T21:13:54+02:00,591
Odelzhausen,2021-07-29T21:13:54+02:00,253
Petershausen,2021-07-29T21:13:54+02:00,271
Pfaffenhofen a.d. Glonn,2021-07-29T21:13:54+02:00,97
Röhrmoos,2021-07-29T21:13:54+02:00,423
Schwabhausen,2021-07-29T21:13:54+02:00,308
Sulzemoos,2021-07-29T21:13:54+02:00,133
Vierkirchen,2021-07-29T21:13:54+02:00,240
Weichs,2021-07-29T21:13:54+02:00,202
