Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-10-04T23:55:00+02:00,93,92
Bergkirchen,2020-10-04T23:55:00+02:00,72,67
Dachau,2020-10-04T23:55:00+02:00,363,344
Erdweg,2020-10-04T23:55:00+02:00,33,33
Haimhausen,2020-10-04T23:55:00+02:00,34,33
Hebertshausen,2020-10-04T23:55:00+02:00,31,30
Hilgertshausen-Tandern,2020-10-04T23:55:00+02:00,16,16
Karlsfeld,2020-10-04T23:55:00+02:00,228,209
Markt Indersdorf,2020-10-04T23:55:00+02:00,73,72
Odelzhausen,2020-10-04T23:55:00+02:00,24,22
Petershausen,2020-10-04T23:55:00+02:00,34,33
Pfaffenhofen a.d. Glonn,2020-10-04T23:55:00+02:00,9,9
Röhrmoos,2020-10-04T23:55:00+02:00,130,116
Schwabhausen,2020-10-04T23:55:00+02:00,47,45
Sulzemoos,2020-10-04T23:55:00+02:00,15,12
Vierkirchen,2020-10-04T23:55:00+02:00,36,35
Weichs,2020-10-04T23:55:00+02:00,25,25
