Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-07-30T23:55:00+02:00,90,88
Bergkirchen,2020-07-30T23:55:00+02:00,67,61
Dachau,2020-07-30T23:55:00+02:00,241,226
Erdweg,2020-07-30T23:55:00+02:00,27,27
Haimhausen,2020-07-30T23:55:00+02:00,29,29
Hebertshausen,2020-07-30T23:55:00+02:00,27,26
Hilgertshausen-Tandern,2020-07-30T23:55:00+02:00,14,14
Karlsfeld,2020-07-30T23:55:00+02:00,153,142
Markt Indersdorf,2020-07-30T23:55:00+02:00,59,59
Odelzhausen,2020-07-30T23:55:00+02:00,21,19
Petershausen,2020-07-30T23:55:00+02:00,31,30
Pfaffenhofen a.d. Glonn,2020-07-30T23:55:00+02:00,8,8
Röhrmoos,2020-07-30T23:55:00+02:00,116,109
Schwabhausen,2020-07-30T23:55:00+02:00,30,29
Sulzemoos,2020-07-30T23:55:00+02:00,12,11
Vierkirchen,2020-07-30T23:55:00+02:00,32,30
Weichs,2020-07-30T23:55:00+02:00,18,18
