Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-01-23T17:15:12+01:00,267,256
Bergkirchen,2021-01-23T17:15:12+01:00,228,209
Dachau,2021-01-23T17:15:12+01:00,1757,1649
Erdweg,2021-01-23T17:15:12+01:00,187,178
Haimhausen,2021-01-23T17:15:12+01:00,169,159
Hebertshausen,2021-01-23T17:15:12+01:00,117,111
Hilgertshausen-Tandern,2021-01-23T17:15:12+01:00,86,71
Karlsfeld,2021-01-23T17:15:12+01:00,1048,989
Markt Indersdorf,2021-01-23T17:15:12+01:00,334,295
Odelzhausen,2021-01-23T17:15:12+01:00,142,137
Petershausen,2021-01-23T17:15:12+01:00,112,97
Pfaffenhofen a.d. Glonn,2021-01-23T17:15:12+01:00,62,60
Röhrmoos,2021-01-23T17:15:12+01:00,312,221
Schwabhausen,2021-01-23T17:15:12+01:00,207,195
Sulzemoos,2021-01-23T17:15:12+01:00,90,85
Vierkirchen,2021-01-23T17:15:12+01:00,140,125
Weichs,2021-01-23T17:15:12+01:00,106,90
