Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-02-05T17:13:48+01:00,278,261
Bergkirchen,2021-02-05T17:13:48+01:00,239,216
Dachau,2021-02-05T17:13:48+01:00,1801,1721
Erdweg,2021-02-05T17:13:48+01:00,187,184
Haimhausen,2021-02-05T17:13:48+01:00,169,166
Hebertshausen,2021-02-05T17:13:48+01:00,125,116
Hilgertshausen-Tandern,2021-02-05T17:13:48+01:00,88,81
Karlsfeld,2021-02-05T17:13:48+01:00,1079,999
Markt Indersdorf,2021-02-05T17:13:48+01:00,353,316
Odelzhausen,2021-02-05T17:13:48+01:00,143,138
Petershausen,2021-02-05T17:13:48+01:00,130,111
Pfaffenhofen a.d. Glonn,2021-02-05T17:13:48+01:00,68,61
Röhrmoos,2021-02-05T17:13:48+01:00,323,293
Schwabhausen,2021-02-05T17:13:48+01:00,210,203
Sulzemoos,2021-02-05T17:13:48+01:00,92,88
Vierkirchen,2021-02-05T17:13:48+01:00,143,138
Weichs,2021-02-05T17:13:48+01:00,154,95
