Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-01-16T17:14:12+01:00,263,251
Bergkirchen,2021-01-16T17:14:12+01:00,223,198
Dachau,2021-01-16T17:14:12+01:00,1712,1600
Erdweg,2021-01-16T17:14:12+01:00,181,171
Haimhausen,2021-01-16T17:14:12+01:00,166,149
Hebertshausen,2021-01-16T17:14:12+01:00,115,106
Hilgertshausen-Tandern,2021-01-16T17:14:12+01:00,81,70
Karlsfeld,2021-01-16T17:14:12+01:00,1040,959
Markt Indersdorf,2021-01-16T17:14:12+01:00,319,279
Odelzhausen,2021-01-16T17:14:12+01:00,142,134
Petershausen,2021-01-16T17:14:12+01:00,103,93
Pfaffenhofen a.d. Glonn,2021-01-16T17:14:12+01:00,62,58
Röhrmoos,2021-01-16T17:14:12+01:00,293,204
Schwabhausen,2021-01-16T17:14:12+01:00,204,186
Sulzemoos,2021-01-16T17:14:12+01:00,88,79
Vierkirchen,2021-01-16T17:14:12+01:00,139,102
Weichs,2021-01-16T17:14:12+01:00,92,81
