Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-10-22T17:14:00+02:00,103,93
Bergkirchen,2020-10-22T17:14:00+02:00,83,74
Dachau,2020-10-22T17:14:00+02:00,440,379
Erdweg,2020-10-22T17:14:00+02:00,36,35
Haimhausen,2020-10-22T17:14:00+02:00,40,37
Hebertshausen,2020-10-22T17:14:00+02:00,39,34
Hilgertshausen-Tandern,2020-10-22T17:14:00+02:00,17,16
Karlsfeld,2020-10-22T17:14:00+02:00,273,228
Markt Indersdorf,2020-10-22T17:14:00+02:00,78,73
Odelzhausen,2020-10-22T17:14:00+02:00,30,22
Petershausen,2020-10-22T17:14:00+02:00,39,34
Pfaffenhofen a.d. Glonn,2020-10-22T17:14:00+02:00,12,9
Röhrmoos,2020-10-22T17:14:00+02:00,147,127
Schwabhausen,2020-10-22T17:14:00+02:00,57,49
Sulzemoos,2020-10-22T17:14:00+02:00,22,19
Vierkirchen,2020-10-22T17:14:00+02:00,43,35
Weichs,2020-10-22T17:14:00+02:00,30,28
