Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-12-27T17:15:25+01:00,243,214
Bergkirchen,2020-12-27T17:15:25+01:00,201,183
Dachau,2020-12-27T17:15:25+01:00,1527,1362
Erdweg,2020-12-27T17:15:25+01:00,159,139
Haimhausen,2020-12-27T17:15:25+01:00,140,123
Hebertshausen,2020-12-27T17:15:25+01:00,100,89
Hilgertshausen-Tandern,2020-12-27T17:15:25+01:00,66,58
Karlsfeld,2020-12-27T17:15:25+01:00,947,832
Markt Indersdorf,2020-12-27T17:15:25+01:00,281,240
Odelzhausen,2020-12-27T17:15:25+01:00,128,119
Petershausen,2020-12-27T17:15:25+01:00,89,82
Pfaffenhofen a.d. Glonn,2020-12-27T17:15:25+01:00,57,49
Röhrmoos,2020-12-27T17:15:25+01:00,203,186
Schwabhausen,2020-12-27T17:15:25+01:00,173,156
Sulzemoos,2020-12-27T17:15:25+01:00,80,76
Vierkirchen,2020-12-27T17:15:25+01:00,94,75
Weichs,2020-12-27T17:15:25+01:00,67,58
