Kommune,Timestamp,Confirmed,Recovered
Altomünster,2020-06-02T23:55:00+02:00,88,87
Bergkirchen,2020-06-02T23:55:00+02:00,65,59
Dachau,2020-06-02T23:55:00+02:00,212,207
Erdweg,2020-06-02T23:55:00+02:00,26,26
Haimhausen,2020-06-02T23:55:00+02:00,28,28
Hebertshausen,2020-06-02T23:55:00+02:00,27,26
Hilgertshausen-Tandern,2020-06-02T23:55:00+02:00,14,14
Karlsfeld,2020-06-02T23:55:00+02:00,138,132
Markt Indersdorf,2020-06-02T23:55:00+02:00,54,54
Odelzhausen,2020-06-02T23:55:00+02:00,21,19
Petershausen,2020-06-02T23:55:00+02:00,31,30
Pfaffenhofen a.d. Glonn,2020-06-02T23:55:00+02:00,8,8
Röhrmoos,2020-06-02T23:55:00+02:00,114,107
Schwabhausen,2020-06-02T23:55:00+02:00,30,29
Sulzemoos,2020-06-02T23:55:00+02:00,12,11
Vierkirchen,2020-06-02T23:55:00+02:00,31,30
Weichs,2020-06-02T23:55:00+02:00,18,18
