Kommune,Timestamp,Recovered
Altomünster,2021-07-12T21:13:38+02:00,407
Bergkirchen,2021-07-12T21:13:38+02:00,368
Dachau,2021-07-12T21:13:38+02:00,2544
Erdweg,2021-07-12T21:13:38+02:00,321
Haimhausen,2021-07-12T21:13:38+02:00,230
Hebertshausen,2021-07-12T21:13:38+02:00,222
Hilgertshausen-Tandern,2021-07-12T21:13:38+02:00,151
Karlsfeld,2021-07-12T21:13:38+02:00,1420
Markt Indersdorf,2021-07-12T21:13:38+02:00,571
Odelzhausen,2021-07-12T21:13:38+02:00,247
Petershausen,2021-07-12T21:13:38+02:00,266
Pfaffenhofen a.d. Glonn,2021-07-12T21:13:38+02:00,95
Röhrmoos,2021-07-12T21:13:38+02:00,401
Schwabhausen,2021-07-12T21:13:38+02:00,304
Sulzemoos,2021-07-12T21:13:38+02:00,130
Vierkirchen,2021-07-12T21:13:38+02:00,236
Weichs,2021-07-12T21:13:38+02:00,179
