Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-02-19T17:13:53+01:00,281,273
Bergkirchen,2021-02-19T17:13:53+01:00,248,233
Dachau,2021-02-19T17:13:53+01:00,1815,1790
Erdweg,2021-02-19T17:13:53+01:00,202,187
Haimhausen,2021-02-19T17:13:53+01:00,171,170
Hebertshausen,2021-02-19T17:13:53+01:00,125,123
Hilgertshausen-Tandern,2021-02-19T17:13:53+01:00,90,87
Karlsfeld,2021-02-19T17:13:53+01:00,1095,1042
Markt Indersdorf,2021-02-19T17:13:53+01:00,360,339
Odelzhausen,2021-02-19T17:13:53+01:00,164,143
Petershausen,2021-02-19T17:13:53+01:00,137,131
Pfaffenhofen a.d. Glonn,2021-02-19T17:13:53+01:00,73,67
Röhrmoos,2021-02-19T17:13:53+01:00,327,309
Schwabhausen,2021-02-19T17:13:53+01:00,210,208
Sulzemoos,2021-02-19T17:13:53+01:00,95,94
Vierkirchen,2021-02-19T17:13:53+01:00,142,141
Weichs,2021-02-19T17:13:53+01:00,159,132
