Kommune,Timestamp,Confirmed,Recovered
Altomünster,2021-02-13T17:13:48+01:00,280,269
Bergkirchen,2021-02-13T17:13:48+01:00,247,228
Dachau,2021-02-13T17:13:48+01:00,1807,1761
Erdweg,2021-02-13T17:13:48+01:00,191,187
Haimhausen,2021-02-13T17:13:48+01:00,171,168
Hebertshausen,2021-02-13T17:13:48+01:00,125,122
Hilgertshausen-Tandern,2021-02-13T17:13:48+01:00,90,87
Karlsfeld,2021-02-13T17:13:48+01:00,1088,1016
Markt Indersdorf,2021-02-13T17:13:48+01:00,356,330
Odelzhausen,2021-02-13T17:13:48+01:00,153,139
Petershausen,2021-02-13T17:13:48+01:00,134,124
Pfaffenhofen a.d. Glonn,2021-02-13T17:13:48+01:00,73,63
Röhrmoos,2021-02-13T17:13:48+01:00,326,302
Schwabhausen,2021-02-13T17:13:48+01:00,210,207
Sulzemoos,2021-02-13T17:13:48+01:00,95,89
Vierkirchen,2021-02-13T17:13:48+01:00,143,141
Weichs,2021-02-13T17:13:48+01:00,156,112
