Kommune,Timestamp,Confirmed
Aschheim,2020-08-27T14:30:00+02:00,44
Aying,2020-08-27T14:30:00+02:00,31
Baierbrunn,2020-08-27T14:30:00+02:00,14
Brunnthal,2020-08-27T14:30:00+02:00,14
Feldkirchen,2020-08-27T14:30:00+02:00,16
Garching b. München,2020-08-27T14:30:00+02:00,93
Gräfelfing,2020-08-27T14:30:00+02:00,60
Grasbrunn,2020-08-27T14:30:00+02:00,22
Grünwald,2020-08-27T14:30:00+02:00,63
Haar,2020-08-27T14:30:00+02:00,106
Hohenbrunn,2020-08-27T14:30:00+02:00,31
Höhenkirchen-Siegertsbrunn,2020-08-27T14:30:00+02:00,35
Ismaning,2020-08-27T14:30:00+02:00,96
Kirchheim b. München,2020-08-27T14:30:00+02:00,56
Neubiberg,2020-08-27T14:30:00+02:00,58
Neuried,2020-08-27T14:30:00+02:00,35
Oberhaching,2020-08-27T14:30:00+02:00,85
Oberschleißheim,2020-08-27T14:30:00+02:00,51
Ottobrunn,2020-08-27T14:30:00+02:00,86
Planegg,2020-08-27T14:30:00+02:00,95
Pullach im Isartal,2020-08-27T14:30:00+02:00,39
Putzbrunn,2020-08-27T14:30:00+02:00,17
Sauerlach,2020-08-27T14:30:00+02:00,23
Schäftlarn,2020-08-27T14:30:00+02:00,22
Straßlach-Dingharting,2020-08-27T14:30:00+02:00,11
Taufkirchen,2020-08-27T14:30:00+02:00,84
Unterföhring,2020-08-27T14:30:00+02:00,45
Unterhaching,2020-08-27T14:30:00+02:00,184
Unterschleißheim,2020-08-27T14:30:00+02:00,172
