Kommune,Timestamp,Confirmed
Aschheim,2020-08-24T14:45:00+02:00,41
Aying,2020-08-24T14:45:00+02:00,30
Baierbrunn,2020-08-24T14:45:00+02:00,14
Brunnthal,2020-08-24T14:45:00+02:00,14
Feldkirchen,2020-08-24T14:45:00+02:00,16
Garching b. München,2020-08-24T14:45:00+02:00,91
Gräfelfing,2020-08-24T14:45:00+02:00,60
Grasbrunn,2020-08-24T14:45:00+02:00,21
Grünwald,2020-08-24T14:45:00+02:00,63
Haar,2020-08-24T14:45:00+02:00,102
Hohenbrunn,2020-08-24T14:45:00+02:00,32
Höhenkirchen-Siegertsbrunn,2020-08-24T14:45:00+02:00,35
Ismaning,2020-08-24T14:45:00+02:00,95
Kirchheim b. München,2020-08-24T14:45:00+02:00,55
Neubiberg,2020-08-24T14:45:00+02:00,57
Neuried,2020-08-24T14:45:00+02:00,34
Oberhaching,2020-08-24T14:45:00+02:00,83
Oberschleißheim,2020-08-24T14:45:00+02:00,50
Ottobrunn,2020-08-24T14:45:00+02:00,84
Planegg,2020-08-24T14:45:00+02:00,94
Pullach im Isartal,2020-08-24T14:45:00+02:00,39
Putzbrunn,2020-08-24T14:45:00+02:00,16
Sauerlach,2020-08-24T14:45:00+02:00,23
Schäftlarn,2020-08-24T14:45:00+02:00,21
Straßlach-Dingharting,2020-08-24T14:45:00+02:00,11
Taufkirchen,2020-08-24T14:45:00+02:00,78
Unterföhring,2020-08-24T14:45:00+02:00,45
Unterhaching,2020-08-24T14:45:00+02:00,179
Unterschleißheim,2020-08-24T14:45:00+02:00,168
