Kommune,Timestamp,Confirmed
Aschheim,2020-10-17T14:00:00+02:00,57
Aying,2020-10-17T14:00:00+02:00,42
Baierbrunn,2020-10-17T14:00:00+02:00,44
Brunnthal,2020-10-17T14:00:00+02:00,19
Feldkirchen,2020-10-17T14:00:00+02:00,25
Garching b. München,2020-10-17T14:00:00+02:00,129
Gräfelfing,2020-10-17T14:00:00+02:00,80
Grasbrunn,2020-10-17T14:00:00+02:00,30
Grünwald,2020-10-17T14:00:00+02:00,102
Haar,2020-10-17T14:00:00+02:00,193
Hohenbrunn,2020-10-17T14:00:00+02:00,41
Höhenkirchen-Siegertsbrunn,2020-10-17T14:00:00+02:00,59
Ismaning,2020-10-17T14:00:00+02:00,134
Kirchheim b. München,2020-10-17T14:00:00+02:00,73
Neubiberg,2020-10-17T14:00:00+02:00,85
Neuried,2020-10-17T14:00:00+02:00,54
Oberhaching,2020-10-17T14:00:00+02:00,114
Oberschleißheim,2020-10-17T14:00:00+02:00,74
Ottobrunn,2020-10-17T14:00:00+02:00,139
Planegg,2020-10-17T14:00:00+02:00,119
Pullach im Isartal,2020-10-17T14:00:00+02:00,53
Putzbrunn,2020-10-17T14:00:00+02:00,27
Sauerlach,2020-10-17T14:00:00+02:00,37
Schäftlarn,2020-10-17T14:00:00+02:00,26
Straßlach-Dingharting,2020-10-17T14:00:00+02:00,13
Taufkirchen,2020-10-17T14:00:00+02:00,119
Unterföhring,2020-10-17T14:00:00+02:00,69
Unterhaching,2020-10-17T14:00:00+02:00,238
Unterschleißheim,2020-10-17T14:00:00+02:00,220
