Kommune,Timestamp,Confirmed
Aschheim,2021-02-22T10:00:00+01:00,347
Aying,2021-02-22T10:00:00+01:00,160
Baierbrunn,2021-02-22T10:00:00+01:00,97
Brunnthal,2021-02-22T10:00:00+01:00,133
Feldkirchen,2021-02-22T10:00:00+01:00,175
Garching,2021-02-22T10:00:00+01:00,595
Gräfelfing,2021-02-22T10:00:00+01:00,408
Grasbrunn,2021-02-22T10:00:00+01:00,157
Grünwald,2021-02-22T10:00:00+01:00,410
Haar,2021-02-22T10:00:00+01:00,1056
Hohenbrunn,2021-02-22T10:00:00+01:00,181
Höhenkirchen-Siegertsbrunn,2021-02-22T10:00:00+01:00,314
Ismaning,2021-02-22T10:00:00+01:00,504
Kirchheim,2021-02-22T10:00:00+01:00,276
Neubiberg,2021-02-22T10:00:00+01:00,437
Neuried,2021-02-22T10:00:00+01:00,212
Oberhaching,2021-02-22T10:00:00+01:00,497
Oberschleißheim,2021-02-22T10:00:00+01:00,394
Ottobrunn,2021-02-22T10:00:00+01:00,698
Planegg,2021-02-22T10:00:00+01:00,341
Pullach,2021-02-22T10:00:00+01:00,373
Putzbrunn,2021-02-22T10:00:00+01:00,188
Sauerlach,2021-02-22T10:00:00+01:00,183
Schäftlarn,2021-02-22T10:00:00+01:00,127
Straßlach-Dingharting,2021-02-22T10:00:00+01:00,66
Taufkirchen,2021-02-22T10:00:00+01:00,591
Unterföhring,2021-02-22T10:00:00+01:00,333
Unterhaching,2021-02-22T10:00:00+01:00,750
Unterschleißheim,2021-02-22T10:00:00+01:00,968
